term,coefficient,std_err,t_stat,p_value,ci_lower,ci_upper,percent_effect_exact,percent_effect_approx,model
Intercept,11.010106462318266,0.007057966086396511,1559.9545715498818,0.0,10.996273102984823,11.023939821651709,6048132.558930507,1101.0106462318265,log_regular_pay
C(Rank)[T.Associate],0.2911372182421506,0.003529796021778354,82.47989868136125,0.0,0.28421894516669227,0.29805549131760894,33.7948162249514,29.113721824215062,log_regular_pay
C(Rank)[T.Clinical],0.6394823585755163,0.004983064969921681,128.33113002449315,0.0,0.6297157307018466,0.6492489864491859,89.54994362807793,63.94823585755163,log_regular_pay
C(Rank)[T.Full],0.6883286571512476,0.0032678858741564194,210.63423989031887,0.0,0.6819237185323138,0.6947335957701813,99.03861341028966,68.83286571512475,log_regular_pay
C(Rank)[T.Research],0.5283403596873842,0.008826798711821886,59.85639606574111,0.0,0.5110401521134288,0.5456405672613397,69.61150305515484,52.83403596873843,log_regular_pay
"C(EmployerName)[T.University of California, Davis]",0.03853528765485216,0.004944478450108969,7.793600082128561,6.5126451829003086e-15,0.028844287970304153,0.04822628733940017,3.9287401726046056,3.853528765485216,log_regular_pay
"C(EmployerName)[T.University of California, Irvine]",-0.005722597741834031,0.005298337203075187,-1.080074280382268,0.28010910393031985,-0.01610714783781008,0.004661952354142018,-0.5706254868800387,-0.5722597741834031,log_regular_pay
"C(EmployerName)[T.University of California, Los Angeles]",0.05116389288252131,0.005092831194999133,10.046257361280952,9.54228828792944e-24,0.04118212716098092,0.061145658604061695,5.249537564945728,5.1163892882521305,log_regular_pay
"C(EmployerName)[T.University of California, Merced]",-0.05175637936271286,0.007467104220734295,-6.931251772139223,4.171328882054248e-12,-0.0663916347041591,-0.03712112402126661,-5.043982887947129,-5.175637936271285,log_regular_pay
"C(EmployerName)[T.University of California, Office of the President]",-0.9783227765171905,0.00620284004791714,-157.7217482571879,0.0,-0.9904801196129708,-0.9661654334214101,-62.405889237518196,-97.83227765171904,log_regular_pay
"C(EmployerName)[T.University of California, Riverside]",-0.08376551039301913,0.005726769967619107,-14.627008045836435,1.8891379846989117e-48,-0.0949897732772982,-0.07254124750874007,-8.03531215513752,-8.376551039301914,log_regular_pay
"C(EmployerName)[T.University of California, San Diego]",0.008367511920276113,0.00517369989253928,1.6173168320687603,0.10580990778272224,-0.001772753535919623,0.01850777737647185,0.840261739498982,0.8367511920276114,log_regular_pay
"C(EmployerName)[T.University of California, San Francisco]",-0.034202087632988265,0.005611218343149458,-6.095305073049672,1.0922893903834577e-09,-0.04519987349495172,-0.023204301771024814,-3.3623807774203263,-3.4202087632988265,log_regular_pay
