Year,EmployerName,Position,RegularPay,TotalWages,RealTotalWages,RealRegularPay
2019,"University of California, Berkeley",Act Assoc Prof-Ay,171150,231150,223321.97947143193,165353.91211998952
2019,"University of California, Berkeley",Act Asst Prof-Ay,94083,94083,90896.8280104293,90896.8280104293
2019,"University of California, Berkeley",Act Prof-Ay,145717,255717,247057.00464848,140782.21450416892
2019,"University of California, Berkeley",Act Prof-Ay-B/E/E,181333,271429,262236.9092189111,175192.05928398515
2019,"University of California, Berkeley",Act Prof-Ay-Law,87500,110834,107080.54628049616,84536.7648875202
2019,"University of California, Berkeley",Act Prof-Ay-Law,77083,197639,190945.8477211955,74472.54226085394
2019,"University of California, Berkeley",Act Prof-Ay-Law,97917,224028,216441.16987681572,94600.98751418646
2019,"University of California, Berkeley",Act Prof-Ay-Law,184000,204444,197520.3926933049,177768.73987775674
2019,"University of California, Berkeley",Act Prof-Ay-Law,195492,216889,209543.93599644993,188871.5570444697
2019,"University of California, Berkeley",Act Prof-Ay-Law,212117,251543,243024.35942973135,204933.54237309852
2019,"University of California, Berkeley",Act Prof-Ay-Law,77083,267111,258065.14063851893,74472.54226085394
2019,"University of California, Berkeley",Act Prof-Ay-Law,190600,267956,258881.5242537184,184145.22728641544
2019,"University of California, Berkeley",Act Prof-Fy,200050,216666,209328.48801279374,193275.1978942676
2019,"University of California, Berkeley",Adj Prof-Ay,237083,262372,253486.62945221085,229054.05519803372
2019,"University of California, Berkeley",Adj Prof-Ay,252967,280934,271420.01722183544,244400.13489487226
2019,"University of California, Berkeley",Adj Prof-Ay,39284,39284,37953.62596390107,37953.62596390107
2019,"University of California, Berkeley",Adj Prof-Ay,120483,160348,154917.72772781816,116402.77764506395
2019,"University of California, Berkeley",Adj Prof-Ay,143767,143767,138898.25231524705,138898.25231524705
2019,"University of California, Berkeley",Adj Prof-Ay,44188,44188,42691.549335425625,42691.549335425625
2019,"University of California, Berkeley",Adj Prof-Ay,1742,1742,1683.006222103545,1683.006222103545
2019,"University of California, Berkeley",Adj Prof-Ay,244117,271106,261924.84778966915,235849.84496053448
2019,"University of California, Berkeley",Adj Prof-Ay,25190,25190,24336.92694304724,24336.92694304724
2019,"University of California, Berkeley",Adj Prof-Ay,108333,108333,104664.24400639687,104664.24400639687
2019,"University of California, Berkeley",Adj Prof-Ay,44293,61161,59089.74945469283,42792.993453290655
2019,"University of California, Berkeley",Adj Prof-Ay,175650,216654,209316.89439932344,169701.5171713477
2019,"University of California, Berkeley",Adj Prof-Ay,53634,59850,57823.14718306382,51817.65540545438
2019,"University of California, Berkeley",Adj Prof-Ay,222350,222350,214819.99625988703,214819.99625988703
2019,"University of California, Berkeley",Adj Prof-Ay,147899,147899,142890.3198868497,142890.3198868497
2019,"University of California, Berkeley",Adj Prof-Ay,49064,49064,47402.42094218618,47402.42094218618
2019,"University of California, Berkeley",Adj Prof-Ay,84317,84317,81461.55891452618,81461.55891452618
2019,"University of California, Berkeley",Adj Prof-Ay,21285,21285,20564.171892924198,20564.171892924198
2019,"University of California, Berkeley",Adj Prof-Ay,17149,17149,16568.239783498102,16568.239783498102
2019,"University of California, Berkeley",Adj Prof-Ay,116190,153600,148398.2524196926,112255.16242606824
2019,"University of California, Berkeley",Adj Prof-Ay,26575,27908,26962.880394067586,25675.023164409704
2019,"University of California, Berkeley",Adj Prof-Ay,209950,279481,270016.22385747463,202839.92900725562
