Year,EmployerName,Position,RegularPay,TotalWages,RealTotalWages,RealRegularPay
2020,"University of California, Berkeley",Act Assoc Prof-Ay,178358,178358,186362.19104619007,186362.19104619007
2020,"University of California, Berkeley",Act Asst Prof-Ay,39167,39167,40924.70164896515,40924.70164896515
2020,"University of California, Berkeley",Act Asst Prof-Ay,105175,140108,146395.64170432274,109894.9497262979
2020,"University of California, Berkeley",Act Asst Prof-Ay-B/E/E,50000,115333,120508.81137896948,52243.85534884616
2020,"University of California, Berkeley",Act Asst Prof-Ay-B/E/E,52083,82083,85766.64757198679,54420.33436267909
2020,"University of California, Berkeley",Act Prof-Ay,211050,227541,237752.38179863608,220521.31342747965
2020,"University of California, Berkeley",Act Prof-Ay-Law,185000,225562,235684.57000392873,193302.26479073078
2020,"University of California, Berkeley",Act Prof-Ay-Law,193833,214889,224532.59664116404,202531.66427665795
2020,"University of California, Berkeley",Act Prof-Ay-Law,210000,333333,348292.02069993876,219424.19246515387
2020,"University of California, Berkeley",Act Prof-Ay-Law,105000,256579,268093.52323103196,109712.09623257694
2020,"University of California, Berkeley",Act Prof-Ay-Law,185000,226111,236258.20753565908,193302.26479073078
2020,"University of California, Berkeley",Act Prof-Ay-Law,235000,261111,272828.9062798514,245546.12013957693
2020,"University of California, Berkeley",Act Prof-Ay-Law,205100,227889,238115.99903186405,214304.29464096695
2020,"University of California, Berkeley",Act Prof-Ay-Law,200667,314289,328393.3810746702,209672.35442573825
2020,"University of California, Berkeley",Act Prof-Fy,201039,201039,210061.04870953367,210061.04870953367
2020,"University of California, Berkeley",Adj Prof-Ay,54658,103983,108649.4562147814,57110.892913144664
2020,"University of California, Berkeley",Adj Prof-Ay,23275,23275,24319.514664887887,24319.514664887887
2020,"University of California, Berkeley",Adj Prof-Ay,11115,11115,11613.809044048501,11613.809044048501
2020,"University of California, Berkeley",Adj Prof-Ay,268967,296767,310085.04440622055,281037.4608322621
2020,"University of California, Berkeley",Adj Prof-Ay,222367,296589,309899.05628117867,232346.18764713747
2020,"University of California, Berkeley",Adj Prof-Ay,155142,155142,162104.32413061382,162104.32413061382
2020,"University of California, Berkeley",Adj Prof-Ay,90337,90337,94391.0632129743,94391.0632129743
2020,"University of California, Berkeley",Adj Prof-Ay,20955,20955,21895.399776701426,21895.399776701426
2020,"University of California, Berkeley",Adj Prof-Ay,16220,16220,16947.906675165694,16947.906675165694
2020,"University of California, Berkeley",Adj Prof-Ay,66648,95254,99528.72394797984,69638.96942579797
2020,"University of California, Berkeley",Adj Prof-Ay,179766,256723,268243.98553443665,187833.37801281357
2020,"University of California, Berkeley",Adj Prof-Ay,130993,138666,144888.92891606202,136871.5868742281
2020,"University of California, Berkeley",Adj Prof-Ay,186692,221682,231630.4468288583,195070.19685573573
2020,"University of California, Berkeley",Adj Prof-Ay,167812,167812,175342.91707601142,175342.91707601142
2020,"University of California, Berkeley",Adj Prof-Ay,229100,229100,239381.3452084131,239381.3452084131
2020,"University of California, Berkeley",Adj Prof-Ay,120098,120098,125487.65079371452,125487.65079371452
2020,"University of California, Berkeley",Adj Prof-Ay,60693,60693,63416.7262537504,63416.7262537504
2020,"University of California, Berkeley",Adj Prof-Ay,24169,24169,25253.634798525258,25253.634798525258
2020,"University of California, Berkeley",Adj Prof-Ay,12430,12430,12987.822439723155,12987.822439723155
2020,"University of California, Berkeley",Adj Prof-Ay,81700,81700,85366.45964001463,85366.45964001463
2020,"University of California, Berkeley",Adj Prof-Ay,119508,119508,124871.17330059814,124871.17330059814
2020,"University of California, Berkeley",Adj Prof-Ay,54650,54650,57102.53389628885,57102.53389628885
2020,"University of California, Berkeley",Adj Prof-Ay,11780,11780,12308.652320188155,12308.652320188155
2020,"University of California, Berkeley",Adj Prof-Ay,56050,56050,58565.36184605654,58565.36184605654
2020,"University of California, Berkeley",Adj Prof-Ay,254917,283239,295949.94690303673,266356.93747923634
2020,"University of California, Berkeley",Adj Prof-Ay,259300,288111,301040.58816822834,270936.6338391162
2020,"University of California, Berkeley",Adj Prof-Ay,164525,206366,215627.1090583997,171908.4060253783
2020,"University of California, Berkeley",Adj Prof-Ay,139200,139200,145446.8932911877,145446.8932911877
2020,"University of California, Berkeley",Adj Prof-Ay,23354,23354,24402.059956339064,24402.059956339064
2020,"University of California, Berkeley",Adj Prof-Ay,0,1500,1567.3156604653848,0.0
2020,"University of California, Berkeley",Adj Prof-Ay,102363,102363,106956.75530147878,106956.75530147878
2020,"University of California, Berkeley",Adj Prof-Ay-1/10-Bee,55047,55047,57517.35010775869,57517.35010775869
2020,"University of California, Berkeley",Adj Prof-Ay-B/E/E,137300,183068,191283.56222005136,143461.62678793154
2020,"University of California, Berkeley",Adj Prof-Ay-B/E/E,42879,42879,44803.285470063485,44803.285470063485
2020,"University of California, Berkeley",Adj Prof-Ay-B/E/E,18788,18788,19631.151085882433,19631.151085882433
2020,"University of California, Berkeley",Adj Prof-Ay-B/E/E,28032,28032,29289.99506277711,29289.99506277711
2020,"University of California, Berkeley",Adj Prof-Ay-B/E/E,211192,256040,267530.3344703714,220669.68597667036
2020,"University of California, Berkeley",Adj Prof-Ay-B/E/E,159567,176834,184769.79833515722,166727.9053289867
2020,"University of California, Berkeley",Adj Prof-Ay-B/E/E,108333,108333,113194.67163013102,113194.67163013102
2020,"University of California, Berkeley",Adj Prof-Fy,18480,18480,19309.32893693354,19309.32893693354
2020,"University of California, Berkeley",Adj Prof-Fy-B/E/E,62407,63458,66305.81145454159,65207.64561510884
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,48250,50750,53027.51317907885,50415.320411636545
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,206383,229072,239352.08864941774,215644.87196921834
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,88192,88192,92149.80181850881,92149.80181850881
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,125300,167067,174564.48363131363,130923.10150420848
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,35706,35706,37308.38198171802,37308.38198171802
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,34710,34710,36267.684383169006,36267.684383169006
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,21620,21620,22590.24305284108,22590.24305284108
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,115900,184729,193019.10309474004,121101.2566986254
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,30950,30950,32338.94646093577,32338.94646093577
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,67472,67472,70499.94816194696,70499.94816194696
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,53610,53610,56015.861705032854,56015.861705032854
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,62713,83943,87710.11899096386,65527.378009843786
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,194800,266167,278111.8049327267,203542.06043910462
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,123800,145519,152049.47173017488,129355.78584374308
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,209200,231889,242295.50745977173,218588.29077957233
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,24125,24125,25207.660205818273,25207.660205818273
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,4883,4883,5102.134913368316,5102.134913368316
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,111500,111500,116503.79742792694,116503.79742792694
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,16325,16325,17057.61877139827,17057.61877139827
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,106900,118549,123869.13615500726,111697.36273583309
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,118908,172641,180388.62862560299,124244.24703641198
2020,"University of California, Berkeley",Assoc Adj Prof-Ay,1113,1113,1162.9482200653156,1162.9482200653156
2020,"University of California, Berkeley",Assoc Adj Prof-Ay-B/E/E,162533,180400,188495.83009863694,169827.01082828027
2020,"University of California, Berkeley",Assoc Adj Prof-Ay-B/E/E,63350,63350,66192.96472698808,66192.96472698808
2020,"University of California, Berkeley",Assoc Clin Prof-Vol,0,270,282.11681888376927,0.0
2020,"University of California, Berkeley",Assoc Prof In Res-Ay,113633,113633,118732.52029710871,118732.52029710871
2020,"University of California, Berkeley",Assoc Prof In Res-Ay,126750,126750,132438.173309325,132438.173309325
2020,"University of California, Berkeley",Assoc Prof Of Clin-Fy,120816,120816,126237.87255652394,126237.87255652394
2020,"University of California, Berkeley",Assoc Prof Of Clin-HComp,106502,135225,141293.50679095445,111281.50164725627
2020,"University of California, Berkeley",Assoc Prof-Ay,139500,153368,160250.71214283674,145760.35642328078
2020,"University of California, Berkeley",Assoc Prof-Ay,135865,169701,177316.68993109083,141962.22813941966
2020,"University of California, Berkeley",Assoc Prof-Ay,126800,169067,176654.23784526746,132490.41716467385
2020,"University of California, Berkeley",Assoc Prof-Ay,150892,156725,163758.36459095828,157663.59642596188
2020,"University of California, Berkeley",Assoc Prof-Ay,128933,152033,158855.80120502255,134719.14003385563
2020,"University of California, Berkeley",Assoc Prof-Ay,122950,132050,137976.0219763027,128467.64030281271
2020,"University of California, Berkeley",Assoc Prof-Ay,126100,126100,131759.00318979,131759.00318979
2020,"University of California, Berkeley",Assoc Prof-Ay,261400,290444,303478.2864588055,273130.8757637677
2020,"University of California, Berkeley",Assoc Prof-Ay,124525,166088,173541.5489435832,130113.32174630136
2020,"University of California, Berkeley",Assoc Prof-Ay,123550,124410,129993.16087899901,129094.56656699885
2020,"University of California, Berkeley",Assoc Prof-Ay,150692,199792,208758.08695713343,157454.62100456652
2020,"University of California, Berkeley",Assoc Prof-Ay,141617,142817,149226.21378712324,147972.36125875093
2020,"University of California, Berkeley",Assoc Prof-Ay,144967,144967,151472.6995671236,151472.6995671236
2020,"University of California, Berkeley",Assoc Prof-Ay,197100,262800,274593.7037135354,205945.27778515156
2020,"University of California, Berkeley",Assoc Prof-Ay,129100,142850,149260.69473165346,134893.6345107208
2020,"University of California, Berkeley",Assoc Prof-Ay,125800,125800,131445.54005769693,131445.54005769693
2020,"University of California, Berkeley",Assoc Prof-Ay,94588,94588,98832.83579473321,98832.83579473321
2020,"University of California, Berkeley",Assoc Prof-Ay,167800,172175,179901.71589375174,175330.3785507277
2020,"University of California, Berkeley",Assoc Prof-Ay,114250,147665,154291.77800174736,119377.20947211348
2020,"University of California, Berkeley",Assoc Prof-Ay,130200,130200,136042.9993283954,136042.9993283954
2020,"University of California, Berkeley",Assoc Prof-Ay,132900,287168,300055.26905634906,138864.1675172331
2020,"University of California, Berkeley",Assoc Prof-Ay,165800,195191,203950.6073879326,173240.62433677385
2020,"University of California, Berkeley",Assoc Prof-Ay,125300,146549,153125.6951503611,130923.10150420848
2020,"University of California, Berkeley",Assoc Prof-Ay,137600,184230,192497.70941835854,143775.08992002462
2020,"University of California, Berkeley",Assoc Prof-Ay,147400,246533,257596.6878143418,154014.8855683985
2020,"University of California, Berkeley",Assoc Prof-Ay,128033,163375,170706.79735235483,133778.7506375764
2020,"University of California, Berkeley",Assoc Prof-Ay,129875,177793,185771.8354807481,135703.4142686279
2020,"University of California, Berkeley",Assoc Prof-Ay,130858,130858,136730.5284647862,136730.5284647862
2020,"University of California, Berkeley",Assoc Prof-Ay,144800,193067,201731.28841271362,151298.20509025847
2020,"University of California, Berkeley",Assoc Prof-Ay,151800,184646,192932.37829486094,158612.34483909694
2020,"University of California, Berkeley",Assoc Prof-Ay,140533,158986,166120.8317298331,146839.71447478794
2020,"University of California, Berkeley",Assoc Prof-Ay,108300,108927,113815.32863167531,113160.19068560078
2020,"University of California, Berkeley",Assoc Prof-Ay,137400,163917,171273.1207443363,143566.11449862923
2020,"University of California, Berkeley",Assoc Prof-Ay,143625,167469,174984.52422831833,150070.47448956058
2020,"University of California, Berkeley",Assoc Prof-Ay,115025,115885,121085.58354202074,120186.98923002058
2020,"University of California, Berkeley",Assoc Prof-Ay,120700,122420,127913.85543611493,126116.66681211462
2020,"University of California, Berkeley",Assoc Prof-Ay,137300,183067,191282.5173429444,143461.62678793154
2020,"University of California, Berkeley",Assoc Prof-Ay,52083,94014,98233.07633532846,54420.33436267909
2020,"University of California, Berkeley",Assoc Prof-Ay,115417,115417,120596.58105595554,120596.58105595554
2020,"University of California, Berkeley",Assoc Prof-Ay,161433,161433,168677.64601060565,168677.64601060565
2020,"University of California, Berkeley",Assoc Prof-Ay,62591,62591,65399.9030027926,65399.9030027926
2020,"University of California, Berkeley",Assoc Prof-Ay,127400,141414,147760.25120603462,133117.34342886
2020,"University of California, Berkeley",Assoc Prof-Ay,124400,124400,129982.71210792924,129982.71210792924
2020,"University of California, Berkeley",Assoc Prof-Ay,70744,70744,73918.78605597545,73918.78605597545
2020,"University of California, Berkeley",Assoc Prof-Ay,136200,136200,142312.26197025695,142312.26197025695
2020,"University of California, Berkeley",Assoc Prof-Ay,138200,138200,144402.01618421078,144402.01618421078
2020,"University of California, Berkeley",Assoc Prof-Ay,127200,127200,132908.36800746463,132908.36800746463
2020,"University of California, Berkeley",Assoc Prof-Ay,96117,96117,100430.45289130093,100430.45289130093
2020,"University of California, Berkeley",Assoc Prof-Ay,120200,120200,125594.22825862617,125594.22825862617
2020,"University of California, Berkeley",Assoc Prof-Ay,137300,137300,143461.62678793154,143461.62678793154
2020,"University of California, Berkeley",Assoc Prof-Ay,123500,123500,129042.32271165,129042.32271165
2020,"University of California, Berkeley",Assoc Prof-Ay,78930,78930,82472.15005368854,82472.15005368854
2020,"University of California, Berkeley",Assoc Prof-Ay,111750,119813,125189.8608182261,116765.01670467116
2020,"University of California, Berkeley",Assoc Prof-Ay,167242,167242,174747.3371250346,174747.3371250346
2020,"University of California, Berkeley",Assoc Prof-Ay,103100,132950,138916.41137258193,107726.82972932077
2020,"University of California, Berkeley",Assoc Prof-Ay,121000,121000,126430.1299442077,126430.1299442077
2020,"University of California, Berkeley",Assoc Prof-Ay,171150,171150,178830.7168591004,178830.7168591004
2020,"University of California, Berkeley",Assoc Prof-Ay,133833,147601,154224.90586690084,139839.03785804255
2020,"University of California, Berkeley",Assoc Prof-Ay,112000,124444,130028.68670063623,117026.23598141539
2020,"University of California, Berkeley",Assoc Prof-Ay,115533,119860,125238.970042254,120717.78680036486
2020,"University of California, Berkeley",Assoc Prof-Ay,99975,102815,107429.03975383236,104461.5887700179
2020,"University of California, Berkeley",Assoc Prof-Ay,131500,138393,144603.67746585733,137401.3395674654
2020,"University of California, Berkeley",Assoc Prof-Ay,119500,135573,141657.1240241824,124862.81428374232
2020,"University of California, Berkeley",Assoc Prof-Ay,153500,219667,229525.0194582998,160388.63592095772
2020,"University of California, Berkeley",Assoc Prof-Ay,147400,156020,163021.72623053956,154014.8855683985
2020,"University of California, Berkeley",Assoc Prof-Ay,138200,171225,178909.08264212366,144402.01618421078
2020,"University of California, Berkeley",Assoc Prof-Ay,124198,165598,173029.55916116454,129771.6469323199
2020,"University of California, Berkeley",Assoc Prof-Ay,130900,169940,177566.41555965832,136774.41330327923
2020,"University of California, Berkeley",Assoc Prof-Ay,166000,235654,246229.46976753985,173449.59975816924
2020,"University of California, Berkeley",Assoc Prof-Ay,152900,210367,219807.6623634144,159761.70965677156
2020,"University of California, Berkeley",Assoc Prof-Ay,119092,158720,165842.89441937723,124436.50442409574
2020,"University of California, Berkeley",Assoc Prof-Ay,123100,127427,133145.5551107484,128624.37186885925
2020,"University of California, Berkeley",Assoc Prof-Ay,127100,155344,162315.38930622317,132803.88029676693
2020,"University of California, Berkeley",Assoc Prof-Ay,143300,191067,199641.5341987598,149730.88942979308
2020,"University of California, Berkeley",Assoc Prof-Ay,107067,113396,118484.88442275517,111871.85721269823
2020,"University of California, Berkeley",Assoc Prof-Ay,136642,182225,190402.73081886984,142774.09765154074
2020,"University of California, Berkeley",Assoc Prof-Ay,109200,145600,152134.10677584002,114100.58008188
