Year,EmployerName,Position,RegularPay,TotalWages
2024,"University of California, Berkeley",Assistant Prof Of Clin-Hcomp,144008,146358
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay,153758,273246
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay,111483,117956
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay,120433,164424
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay,114100,139493
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay,108800,108800
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay,108800,113765
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay,127900,164293
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay-B/E/E,144617,194087
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay-B/E/E,132783,147428
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay-B/E/E,138583,194450
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay-B/E/E,58583,74139
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay-B/E/E,53425,124225
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay-B/E/E,80267,80267
2024,"University of California, Berkeley",Assistant Prof Of Teach-Ay-B/E/E,132667,166580
2024,"University of California, Berkeley",Assistant Prof-Ay,171183,258961
2024,"University of California, Berkeley",Assistant Prof-Ay,120392,146595
2024,"University of California, Berkeley",Assistant Prof-Ay,135367,174664
2024,"University of California, Berkeley",Assistant Prof-Ay,58875,100680
2024,"University of California, Berkeley",Assistant Prof-Ay,164717,176312
2024,"University of California, Berkeley",Assistant Prof-Ay,45500,61272
2024,"University of California, Berkeley",Assistant Prof-Ay,133667,177859
2024,"University of California, Berkeley",Assistant Prof-Ay,138900,169633
2024,"University of California, Berkeley",Assistant Prof-Ay,52458,79699
2024,"University of California, Berkeley",Assistant Prof-Ay,50042,96028
2024,"University of California, Berkeley",Assistant Prof-Ay,57083,86725
2024,"University of California, Berkeley",Assistant Prof-Ay,58333,110350
2024,"University of California, Berkeley",Assistant Prof-Ay,111483,111483
2024,"University of California, Berkeley",Assistant Prof-Ay,113708,113708
2024,"University of California, Berkeley",Assistant Prof-Ay,106133,106133
2024,"University of California, Berkeley",Assistant Prof-Ay,58542,58542
2024,"University of California, Berkeley",Assistant Prof-Ay,77083,77083
2024,"University of California, Berkeley",Assistant Prof-Ay,134283,178751
2024,"University of California, Berkeley",Assistant Prof-Ay,108067,147067
2024,"University of California, Berkeley",Assistant Prof-Ay,141517,169990
2024,"University of California, Berkeley",Assistant Prof-Ay,137567,145491
2024,"University of California, Berkeley",Assistant Prof-Ay,72917,172361
2024,"University of California, Berkeley",Assistant Prof-Ay,132900,158013
2024,"University of California, Berkeley",Assistant Prof-Ay,127992,148686
2024,"University of California, Berkeley",Assistant Prof-Ay,118592,157754
2024,"University of California, Berkeley",Assistant Prof-Ay,131075,174274
2024,"University of California, Berkeley",Assistant Prof-Ay,134833,179236
2024,"University of California, Berkeley",Assistant Prof-Ay,134233,178665
2024,"University of California, Berkeley",Assistant Prof-Ay,121183,153330
2024,"University of California, Berkeley",Assistant Prof-Ay,151208,153542
2024,"University of California, Berkeley",Assistant Prof-Ay,132967,177513
2024,"University of California, Berkeley",Assistant Prof-Ay,113492,114746
2024,"University of California, Berkeley",Assistant Prof-Ay,138600,284612
2024,"University of California, Berkeley",Assistant Prof-Ay,140583,187115
2024,"University of California, Berkeley",Assistant Prof-Ay,68250,95355
2024,"University of California, Berkeley",Assistant Prof-Ay,170375,177458
2024,"University of California, Berkeley",Assistant Prof-Ay,126308,140541
2024,"University of California, Berkeley",Assistant Prof-Ay,128433,171294
2024,"University of California, Berkeley",Assistant Prof-Ay,43217,67796
2024,"University of California, Berkeley",Assistant Prof-Ay,50542,50542
2024,"University of California, Berkeley",Assistant Prof-Ay,108800,108800
2024,"University of California, Berkeley",Assistant Prof-Ay,113900,113900
2024,"University of California, Berkeley",Assistant Prof-Ay,44375,44375
2024,"University of California, Berkeley",Assistant Prof-Ay,46325,56325
2024,"University of California, Berkeley",Assistant Prof-Ay,55542,86266
2024,"University of California, Berkeley",Assistant Prof-Ay,117217,142402
2024,"University of California, Berkeley",Assistant Prof-Ay,129392,172258
2024,"University of California, Berkeley",Assistant Prof-Ay,62723,72039
2024,"University of California, Berkeley",Assistant Prof-Ay,186300,215511
2024,"University of California, Berkeley",Assistant Prof-Ay,161117,201350
2024,"University of California, Berkeley",Assistant Prof-Ay,110767,112054
2024,"University of California, Berkeley",Assistant Prof-Ay,118267,130961
2024,"University of California, Berkeley",Assistant Prof-Ay,86042,86042
2024,"University of California, Berkeley",Assistant Prof-Ay,153058,153058
2024,"University of California, Berkeley",Assistant Prof-Ay,109425,128175
2024,"University of California, Berkeley",Assistant Prof-Ay,134633,134633
2024,"University of California, Berkeley",Assistant Prof-Ay,49708,49708
2024,"University of California, Berkeley",Assistant Prof-Ay,160450,160450
2024,"University of California, Berkeley",Assistant Prof-Ay,44375,44375
2024,"University of California, Berkeley",Assistant Prof-Ay,123967,123967
2024,"University of California, Berkeley",Assistant Prof-Ay,158217,181185
2024,"University of California, Berkeley",Assistant Prof-Ay,158217,158217
2024,"University of California, Berkeley",Assistant Prof-Ay,120169,120169
2024,"University of California, Berkeley",Assistant Prof-Ay,125171,127889
2024,"University of California, Berkeley",Assistant Prof-Ay,111483,123783
2024,"University of California, Berkeley",Assistant Prof-Ay,130483,173282
2024,"University of California, Berkeley",Assistant Prof-Ay,120533,237631
2024,"University of California, Berkeley",Assistant Prof-Ay,74200,94031
2024,"University of California, Berkeley",Assistant Prof-Ay,115450,153635
2024,"University of California, Berkeley",Assistant Prof-Ay,131017,171341
2024,"University of California, Berkeley",Assistant Prof-Ay,123967,165000
2024,"University of California, Berkeley",Assistant Prof-Ay,123700,164000
2024,"University of California, Berkeley",Assistant Prof-Ay,128433,170918
2024,"University of California, Berkeley",Assistant Prof-Ay,119833,159500
2024,"University of California, Berkeley",Assistant Prof-Ay,110067,133716
2024,"University of California, Berkeley",Assistant Prof-Ay,107517,176317
2024,"University of California, Berkeley",Assistant Prof-Ay,71342,71342
2024,"University of California, Berkeley",Assistant Prof-Ay,111117,118816
2024,"University of California, Berkeley",Assistant Prof-Ay,62500,94955
2024,"University of California, Berkeley",Assistant Prof-Ay,105833,128823
2024,"University of California, Berkeley",Assistant Prof-Ay,116917,133212
2024,"University of California, Berkeley",Assistant Prof-Ay,105833,173823
2024,"University of California, Berkeley",Assistant Prof-Ay,110651,156218
2024,"University of California, Berkeley",Assistant Prof-Ay,94137,162469
2024,"University of California, Berkeley",Assistant Prof-Ay,86673,86673
2024,"University of California, Berkeley",Assistant Prof-Ay,106933,106933
2024,"University of California, Berkeley",Assistant Prof-Ay,111483,111483
2024,"University of California, Berkeley",Assistant Prof-Ay,47333,52333
2024,"University of California, Berkeley",Assistant Prof-Ay,44923,44923
2024,"University of California, Berkeley",Assistant Prof-Ay,130450,173624
2024,"University of California, Berkeley",Assistant Prof-Ay,132217,175985
2024,"University of California, Berkeley",Assistant Prof-Ay,172525,229156
2024,"University of California, Berkeley",Assistant Prof-Ay,44375,56053
2024,"University of California, Berkeley",Assistant Prof-Ay,203250,268583
2024,"University of California, Berkeley",Assistant Prof-Ay,123567,164329
2024,"University of California, Berkeley",Assistant Prof-Ay,117950,159519
2024,"University of California, Berkeley",Assistant Prof-Ay,117925,157042
2024,"University of California, Berkeley",Assistant Prof-Ay,113058,125014
2024,"University of California, Berkeley",Assistant Prof-Ay,116914,129803
2024,"University of California, Berkeley",Assistant Prof-Ay,113617,154619
2024,"University of California, Berkeley",Assistant Prof-Ay,103817,136683
2024,"University of California, Berkeley",Assistant Prof-Ay,115908,115908
2024,"University of California, Berkeley",Assistant Prof-Ay,110467,110467
2024,"University of California, Berkeley",Assistant Prof-Ay,49292,49292
2024,"University of California, Berkeley",Assistant Prof-Ay,106450,106450
2024,"University of California, Berkeley",Assistant Prof-Ay,10833,10833
2024,"University of California, Berkeley",Assistant Prof-Ay,113492,143342
2024,"University of California, Berkeley",Assistant Prof-Ay,105833,105833
2024,"University of California, Berkeley",Assistant Prof-Ay,48375,148375
2024,"University of California, Berkeley",Assistant Prof-Ay,42542,42542
2024,"University of California, Berkeley",Assistant Prof-Ay,78350,105122
2024,"University of California, Berkeley",Assistant Prof-Ay,122525,159289
2024,"University of California, Berkeley",Assistant Prof-Ay,147725,196632
2024,"University of California, Berkeley",Assistant Prof-Ay,86117,115629
2024,"University of California, Berkeley",Assistant Prof-Ay,126050,157534
2024,"University of California, Berkeley",Assistant Prof-Ay,134633,184343
2024,"University of California, Berkeley",Assistant Prof-Ay,131850,175533
2024,"University of California, Berkeley",Assistant Prof-Ay,141317,187942
2024,"University of California, Berkeley",Assistant Prof-Ay,142392,142571
2024,"University of California, Berkeley",Assistant Prof-Ay,128617,171184
2024,"University of California, Berkeley",Assistant Prof-Ay,109455,134706
2024,"University of California, Berkeley",Assistant Prof-Ay,117717,171684
2024,"University of California, Berkeley",Assistant Prof-Ay,118650,118906
2024,"University of California, Berkeley",Assistant Prof-Ay,121333,141412
2024,"University of California, Berkeley",Assistant Prof-Ay,123683,123683
2024,"University of California, Berkeley",Assistant Prof-Ay,151125,151125
2024,"University of California, Berkeley",Assistant Prof-Ay,110667,110667
2024,"University of California, Berkeley",Assistant Prof-Ay,149783,149783
2024,"University of California, Berkeley",Assistant Prof-Ay,117250,117250
2024,"University of California, Berkeley",Assistant Prof-Ay,117250,117250
2024,"University of California, Berkeley",Assistant Prof-Ay,111483,111483
2024,"University of California, Berkeley",Assistant Prof-Ay,112500,112500
2024,"University of California, Berkeley",Assistant Prof-Ay,131417,206417
2024,"University of California, Berkeley",Assistant Prof-Ay,110467,110467
2024,"University of California, Berkeley",Assistant Prof-Ay,44375,44375
2024,"University of California, Berkeley",Assistant Prof-Ay,106433,106433
2024,"University of California, Berkeley",Assistant Prof-Ay,110467,110467
2024,"University of California, Berkeley",Assistant Prof-Ay,101433,101433
2024,"University of California, Berkeley",Assistant Prof-Ay,42542,42542
