Year,EmployerName,Position,RegularPay,TotalWages,RealTotalWages,RealRegularPay
2016,"University of California, Berkeley",Act Asst Prof-Ay-B/E/E,41250,105600,103733.64375620977,40520.95459226944
2016,"University of California, Berkeley",Act Prof-Ay-Law,76167,201167,197611.60902940767,74820.83753768209
2016,"University of California, Berkeley",Act Prof-Ay-Law,187908,218954,215084.24464959427,184586.94631573735
2016,"University of California, Berkeley",Act Prof-Ay-Law,187908,285616,280568.07192304556,184586.94631573735
2016,"University of California, Berkeley",Act Prof-Ay-Law,197408,251578,247131.6536827627,193919.0449491085
2016,"University of California, Berkeley",Act Prof-Ay-Law,187908,263954,259288.92238661548,184586.94631573735
2016,"University of California, Berkeley",Act Prof-Ay-Law,187908,230044,225978.24189634016,184586.94631573735
2016,"University of California, Berkeley",Act Prof-Ay-Law,187908,233182,229060.78142386844,184586.94631573735
2016,"University of California, Berkeley",Act Prof-Ay-Law,181608,221228,217318.05436457173,178398.2914325544
2016,"University of California, Berkeley",Act Prof-Ay-Law,93350,93350,91700.14815002066,91700.14815002066
2016,"University of California, Berkeley",Adj Prof-Ay,230358,246667,242307.44985239577,226286.69231432737
2016,"University of California, Berkeley",Adj Prof-Ay,115033,153140,150433.42996994284,112999.92653606135
2016,"University of California, Berkeley",Adj Prof-Ay,26475,28675,28168.202980201848,26007.08540194748
2016,"University of California, Berkeley",Adj Prof-Ay,95458,126065,123836.94886483508,93770.89172045712
2016,"University of California, Berkeley",Adj Prof-Ay,84792,89125,87549.82007360033,83293.40077061116
2016,"University of California, Berkeley",Adj Prof-Ay,256417,330486,324645.04725771537,251885.13002875037
2016,"University of California, Berkeley",Adj Prof-Ay,12634,12634,12410.708856211688,12410.708856211688
2016,"University of California, Berkeley",Adj Prof-Ay,248692,312370,306849.2263269625,244296.66035056175
2016,"University of California, Berkeley",Adj Prof-Ay,12276,12276,12059.036086659386,12059.036086659386
2016,"University of California, Berkeley",Adj Prof-Ay,236158,299316,294025.9404785387,231984.18411154344
2016,"University of California, Berkeley",Adj Prof-Ay,104228,147206,144604.30646568764,102385.8922483166
2016,"University of California, Berkeley",Adj Prof-Ay,103067,137416,134987.3332424557,101245.41156270144
2016,"University of California, Berkeley",Adj Prof-Ay,107181,163950,161052.37588854728,105286.70143403711
2016,"University of California, Berkeley",Adj Prof-Ay,129656,166856,163907.0157441869,127364.48214824937
2016,"University of California, Berkeley",Adj Prof-Ay,158500,200749,197200.99668953934,155698.69825150803
2016,"University of California, Berkeley",Adj Prof-Ay,109167,109167,107237.60121149765,107237.60121149765
2016,"University of California, Berkeley",Adj Prof-Ay,109817,109817,107876.11322325462,107876.11322325462
2016,"University of California, Berkeley",Adj Prof-Ay,33233,33233,32645.64567187613,32645.64567187613
2016,"University of California, Berkeley",Adj Prof-Ay,49029,49029,48162.46988374251,48162.46988374251
2016,"University of California, Berkeley",Adj Prof-Ay,9765,9765,9592.415068933602,9592.415068933602
