Year,EmployerName,Position,RegularPay,TotalWages,RealTotalWages,RealRegularPay
2015,"University of California, Berkeley",Act Asst Prof-Ay,45833,135833,148152.00688554926,49989.70008455515
2015,"University of California, Berkeley",Act Prof-Ay-Law,178883,208883,227827.07923902283,195106.3103053581
2015,"University of California, Berkeley",Act Prof-Ay-Law,123375,123798,135025.52508166077,134564.1622396961
2015,"University of California, Berkeley",Act Prof-Ay-Law,185067,215067,234571.9204085489,201851.15147488422
2015,"University of California, Berkeley",Act Prof-Ay-Law,107275,112351,122540.37034887211,117004.01624529605
2015,"University of California, Berkeley",Act Prof-Ay-Law,184754,239400,261111.73609064435,201509.7647856763
2015,"University of California, Berkeley",Act Prof-Ay-Law,185067,251337,274131.3300493495,201851.15147488422
2015,"University of California, Berkeley",Act Prof-Ay-Law,185067,269726,294188.0707133882,201851.15147488422
2015,"University of California, Berkeley",Act Prof-Ay-Law,185067,251397,274196.7715872169,201851.15147488422
2015,"University of California, Berkeley",Act Prof-Ay-Law,185067,225073,245485.38754022386,201851.15147488422
2015,"University of California, Berkeley",Act Prof-Ay-Law,178883,208881,227824.89785442725,195106.3103053581
2015,"University of California, Berkeley",Act Prof-Ay-Law,174383,213788,233176.924959677,190198.19496530842
2015,"University of California, Berkeley",Act Prof-Ay-Law,107275,107275,117004.01624529605,117004.01624529605
2015,"University of California, Berkeley",Adj Prof-Ay,104967,107967,117758.77531536591,114486.69842199943
2015,"University of California, Berkeley",Adj Prof-Ay,220383,235384,256731.51582272444,240370.0406635943
2015,"University of California, Berkeley",Adj Prof-Ay,112509,149776,163359.52959361882,122712.69973192275
2015,"University of California, Berkeley",Adj Prof-Ay,26075,27575,30075.84011152681,28439.801664843573
2015,"University of California, Berkeley",Adj Prof-Ay,91183,116085,126613.01538881558,99452.59578927829
2015,"University of California, Berkeley",Adj Prof-Ay,98436,115818,126321.80054530596,107363.38702514063
2015,"University of California, Berkeley",Adj Prof-Ay,224517,242519,264513.6053674477,244878.9626226533
2015,"University of California, Berkeley",Adj Prof-Ay,213883,232283,253349.2790072813,233280.54072796693
2015,"University of California, Berkeley",Adj Prof-Ay,209092,237492,259030.69518646327,228055.03392926068
2015,"University of California, Berkeley",Adj Prof-Ay,157300,161301,175929.75832563502,171565.89844218193
2015,"University of California, Berkeley",Adj Prof-Ay,105762,136838,149248.15264482703,115353.79879874155
2015,"University of California, Berkeley",Adj Prof-Ay,101467,135067,147316.536585443,110669.27537973855
2015,"University of California, Berkeley",Adj Prof-Ay,59825,60475,65959.6167087791,65250.666715216365
2015,"University of California, Berkeley",Adj Prof-Ay,163626,187962,205008.70567698285,178465.61791799404
2015,"University of California, Berkeley",Adj Prof-Ay,4501,16501,17997.513605813376,4909.206032347494
2015,"University of California, Berkeley",Adj Prof-Ay,119725,156288,170462.11783681964,130583.1353527669
2015,"University of California, Berkeley",Adj Prof-Ay,127709,164909,179864.97613605708,139291.22265831285
2015,"University of California, Berkeley",Adj Prof-Ay,143175,204533,223082.56774364144,156159.8697359148
2015,"University of California, Berkeley",Adj Prof-Ay,9783,9783,10670.24274926806,10670.24274926806
2015,"University of California, Berkeley",Adj Prof-Ay,35243,35243,38439.268650971506,38439.268650971506
2015,"University of California, Berkeley",Adj Prof-Ay,44478,44478,48511.81202105129,48511.81202105129
2015,"University of California, Berkeley",Adj Prof-Ay,13604,13604,14837.778019119156,14837.778019119156
2015,"University of California, Berkeley",Adj Prof-Ay,121750,121750,132791.78725578927,132791.78725578927
2015,"University of California, Berkeley",Adj Prof-Ay,183117,183117,199724.301494196,199724.301494196
2015,"University of California, Berkeley",Adj Prof-Ay,45300,45300,49408.36108983371,49408.36108983371
2015,"University of California, Berkeley",Adj Prof-Ay,75075,75075,81883.72425649593,81883.72425649593
2015,"University of California, Berkeley",Adj Prof-Ay,77329,77329,84342.14469571193,84342.14469571193
2015,"University of California, Berkeley",Adj Prof-Ay,19565,19565,21339.39480623833,21339.39480623833
2015,"University of California, Berkeley",Adj Prof-Ay,98108,98108,107005.6399514659,107005.6399514659
2015,"University of California, Berkeley",Adj Prof-Ay,95000,98793,107752.76417545124,103615.76828993823
2015,"University of California, Berkeley",Adj Prof-Ay,66467,66467,72495.04495712974,72495.04495712974
2015,"University of California, Berkeley",Adj Prof-Ay,5538,5538,6040.253945154504,6040.253945154504
