Year,EmployerName,Position,RegularPay,TotalWages,RealTotalWages,RealRegularPay
2014,"University of California, Berkeley",Act Asst Prof-Ay,29750,89450,97333.68073089528,32372.017906586192
2014,"University of California, Berkeley",Act Prof-Ay-Law,180750,210750,229324.46298531225,196680.41131480518
2014,"University of California, Berkeley",Act Prof-Ay-Law,170383,200383,218043.76686304068,185399.71519253362
2014,"University of California, Berkeley",Act Prof-Ay-Law,109258,113828,123860.23711834934,118887.45991387543
2014,"University of California, Berkeley",Act Prof-Ay-Law,195283,229283,249490.86997229586,212494.2780790545
2014,"University of California, Berkeley",Act Prof-Ay-Law,180300,210300,228834.80221025465,196190.75053974756
2014,"University of California, Berkeley",Act Prof-Ay-Law,76625,106625,116022.4003122606,83378.3486417535
2014,"University of California, Berkeley",Act Prof-Ay-Law,180750,236743,257608.3574876953,196680.41131480518
2014,"University of California, Berkeley",Act Prof-Ay-Law,139621,169736,184695.69181150635,151926.50460959563
2014,"University of California, Berkeley",Act Prof-Ay-Law,110285,163254,177642.40038056544,120004.97461606245
2014,"University of California, Berkeley",Act Prof-Ay-Law,180750,230750,251087.16409898366,196680.41131480518
2014,"University of California, Berkeley",Act Prof-Ay-Law,174800,246669,268409.1860504104,190206.00773348793
2014,"University of California, Berkeley",Act Prof-Ay-Law,174800,214800,233731.4099608307,190206.00773348793
2014,"University of California, Berkeley",Act Prof-Ay-Law,170383,200383,218043.76686304068,185399.71519253362
2014,"University of California, Berkeley",Act Prof-Ay-Law,170383,214393,233288.53899316752,185399.71519253362
2014,"University of California, Berkeley",Adj Prof-Ay,210625,235624,256390.73436038537,229188.4461033518
2014,"University of California, Berkeley",Adj Prof-Ay,109875,146592,159511.89408276582,119558.83924323219
2014,"University of California, Berkeley",Adj Prof-Ay,91750,121495,132202.96859027527,99836.39135896749
2014,"University of California, Berkeley",Adj Prof-Ay,219308,269310,293045.6518461421,238636.72279185225
2014,"University of California, Berkeley",Adj Prof-Ay,204300,254705,277153.43935788353,222305.99187615325
2014,"University of California, Berkeley",Adj Prof-Ay,197883,215883,234909.86022613602,215323.42922383177
2014,"University of California, Berkeley",Adj Prof-Ay,112088,112891,122840.65457117384,121966.88212145993
2014,"University of California, Berkeley",Adj Prof-Ay,187392,204593,222624.8154474685,203907.80435465544
2014,"University of California, Berkeley",Adj Prof-Ay,94642,109765,119439.144387107,102983.27794000438
2014,"University of California, Berkeley",Adj Prof-Ay,162200,198155,215619.4019589777,176495.50603187497
2014,"University of California, Berkeley",Adj Prof-Ay,134775,197707,215131.91745403147,146653.40212975306
2014,"University of California, Berkeley",Adj Prof-Ay,17346,29346,31932.41134409003,18874.790675887194
2014,"University of California, Berkeley",Adj Prof-Ay,151921,208218,226569.30502432145,165310.56579450355
2014,"University of California, Berkeley",Adj Prof-Ay,119078,157578,171466.1458045055,129572.94616068808
2014,"University of California, Berkeley",Adj Prof-Ay,15851,15851,17248.02876764026,17248.02876764026
2014,"University of California, Berkeley",Adj Prof-Ay,102550,102550,111588.24996035005,111588.24996035005
2014,"University of California, Berkeley",Adj Prof-Ay,45411,45411,49413.301013646575,49413.301013646575
2014,"University of California, Berkeley",Adj Prof-Ay,31570,31570,34352.423707930284,34352.423707930284
2014,"University of California, Berkeley",Adj Prof-Ay,113708,113708,123729.6609116673,123729.6609116673
2014,"University of California, Berkeley",Adj Prof-Ay,145717,145717,158559.77590904268,158559.77590904268
2014,"University of California, Berkeley",Adj Prof-Ay,22000,22000,23938.971225038527,23938.971225038527
2014,"University of California, Berkeley",Adj Prof-Ay,153675,153675,167219.15468217252,167219.15468217252
2014,"University of California, Berkeley",Adj Prof-Ay,16732,16732,18206.675751697483,18206.675751697483
2014,"University of California, Berkeley",Adj Prof-Ay,72154,72154,78513.29680779227,78513.29680779227
2014,"University of California, Berkeley",Adj Prof-Ay,56558,56558,61542.74247935132,61542.74247935132
2014,"University of California, Berkeley",Adj Prof-Ay,97966,97966,106600.23886509656,106600.23886509656
2014,"University of California, Berkeley",Adj Prof-Ay,833,833,906.4165013844133,906.4165013844133
2014,"University of California, Berkeley",Adj Prof-Ay,64942,64942,70665.66678620236,70665.66678620236
2014,"University of California, Berkeley",Adj Prof-Ay,21443,21443,23332.879999022778,23332.879999022778
2014,"University of California, Berkeley",Adj Prof-Ay,0,5700,6202.369817396346,0.0
2014,"University of California, Berkeley",Adj Prof-Ay-1/9,0,11327,12325.305775727791,0.0
2014,"University of California, Berkeley",Adj Prof-Ay-1/9,25325,25325,27557.020285186394,27557.020285186394
2014,"University of California, Berkeley",Adj Prof-Ay-1/9,30000,30000,32644.051670507084,32644.051670507084
2014,"University of California, Berkeley",Adj Prof-Ay-B/E/E,159358,212842,231600.8415218023,173403.02620362226
2014,"University of California, Berkeley",Adj Prof-Ay-B/E/E,161525,210840,229422.3951403238,175761.01486928854
2014,"University of California, Berkeley",Adj Prof-Ay-B/E/E,125340,157368,171237.63744281195,136386.8478793786
2014,"University of California, Berkeley",Adj Prof-Ay-B/E/E,4330,4330,4711.624791109855,4711.624791109855
2014,"University of California, Berkeley",Adj Prof-Ay-B/E/E,124058,124058,134991.85873799227,134991.85873799227
2014,"University of California, Berkeley",Adj Prof-Ay-B/E/E,60038,60038,65329.45247313014,65329.45247313014
2014,"University of California, Berkeley",Adj Prof-Ay-B/E/E,14206,14206,15458.046601040787,15458.046601040787
2014,"University of California, Berkeley",Adj Prof-Ay-B/E/E,15900,15900,17301.347385368754,17301.347385368754
2014,"University of California, Berkeley",Adj Prof-Ay-B/E/E,52346,52346,56959.51762481213,56959.51762481213
2014,"University of California, Berkeley",Adj Prof-Fy-B/E/E,57773,57773,62864.82657200686,62864.82657200686
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,19965,45949,49998.71767360433,21724.616386722464
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,192875,257606,280310.1191544216,209874.04886496844
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,79837,79837,86873.43844060913,86873.43844060913
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,16320,17053,18555.967104571908,17758.364108755854
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,36825,44459,48377.39644063581,40070.573425547445
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,75408,100714,109590.43399811501,82054.0882789866
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,17446,17446,18983.604181455554,18983.604181455554
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,82800,108746,118330.33476536543,90097.58261059955
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,82199,90195,98144.34134737955,89443.61344213372
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,166042,181642,197651.02778447492,180676.12091581125
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,69375,99375,108133.42115855472,75489.36948804763
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,18172,18172,19773.590231881823,19773.590231881823
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,3442,3442,3745.360861662846,3745.360861662846
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,95567,95567,103989.80286651169,103989.80286651169
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,11320,11320,12317.688830338006,12317.688830338006
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,66447,66447,72303.31004500613,72303.31004500613
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,10678,10678,11619.106124589154,11619.106124589154
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,12888,12888,14023.884597649843,14023.884597649843
2014,"University of California, Berkeley",Assoc Adj Prof-Ay,46229,46229,50303.39548919573,50303.39548919573
