Year,EmployerName,Position,RegularPay,TotalWages,RealTotalWages,RealRegularPay
2013,"University of California, Berkeley",Act Assoc Prof-Ay-B/E/E,96775,119131,121702.64901483605,98864.0560258099
2013,"University of California, Berkeley",Act Asst Prof-Ay,28083,87783,89677.94812827352,28689.220205350754
2013,"University of California, Berkeley",Act Asst Prof-Ay-B/E/E,59042,118742,121305.25177594129,60316.52385301852
2013,"University of California, Berkeley",Act Prof-Ay-Law,167708,199959,204275.46141942567,171328.2677135265
2013,"University of California, Berkeley",Act Prof-Ay-Law,163458,193457,197633.1044855087,166986.5241009231
2013,"University of California, Berkeley",Act Prof-Ay-Law,78042,119015,121584.14495388028,79726.67176818657
2013,"University of California, Berkeley",Act Prof-Ay-Law,182583,216583,221258.31925846534,186524.3703576383
2013,"University of California, Berkeley",Act Prof-Ay-Law,176925,206926,211392.85618389808,180744.23262584774
2013,"University of California, Berkeley",Act Prof-Ay-Law,93333,123334,125996.37805101769,95347.75449296735
2013,"University of California, Berkeley",Act Prof-Ay-Law,167708,233860,238908.27323374737,171328.2677135265
2013,"University of California, Berkeley",Act Prof-Ay-Law,138330,203216,207602.76940677845,141316.09268974717
2013,"University of California, Berkeley",Act Prof-Ay-Law,172750,222749,227557.42305030357,176479.10801817267
2013,"University of California, Berkeley",Act Prof-Ay-Law,167708,217709,222408.62591912216,171328.2677135265
2013,"University of California, Berkeley",Act Prof-Ay-Law,163458,195149,199361.62923669102,166986.5241009231
2013,"University of California, Berkeley",Act Prof-Ay-Law,166375,206375,210829.96189435822,169966.4925992676
2013,"University of California, Berkeley",Act Prof-Ay-Law,163458,193459,197635.14765897347,166986.5241009231
2013,"University of California, Berkeley",Act Prof-Ay-Law,70125,207525,212004.78663659206,71638.76960795576
2013,"University of California, Berkeley",Adj Prof-Ay,205608,230608,235586.0731800565,210046.40487062486
2013,"University of California, Berkeley",Adj Prof-Ay,101033,134780,137689.45978980788,103213.97233227229
2013,"University of California, Berkeley",Adj Prof-Ay,57511,76871,78530.3937045728,58752.47456574893
2013,"University of California, Berkeley",Adj Prof-Ay,208908,226907,231805.18068352825,213417.64108746982
2013,"University of California, Berkeley",Adj Prof-Ay,204925,222925,227737.22231520197,209348.6611324112
2013,"University of California, Berkeley",Adj Prof-Ay,196575,214576,219207.99468658416,200818.41191706102
