Year,EmployerName,Position,RegularPay,TotalWages,RealTotalWages,RealRegularPay
2012,"University of California, Berkeley",VST ASST PROFESSOR-ACAD YR-1/9,34224.0,34224.0,34264.21280503195,34264.21280503195
2012,"University of California, Davis",HS ASST CLIN PROF-FY,0.0,50.0,50.05874942296627,0.0
2012,"University of California, Davis",ASST ADJ PROF-FY-B/E/E,49501.56,49501.56,49559.723761718604,49559.723761718604
2012,"University of California, Davis",ASST PROF OF CLIN-FY,68682.51,68682.51,68763.2111566075,68763.2111566075
2012,"University of California, Davis",ASSOC PROF-AY,71400.0,71461.35,71545.31626153782,71483.89417599584
2012,"University of California, Davis",HS ASST CLIN PROF-HCOMP,61554.48,99854.48,99971.80786161193,61626.805803619776
2012,"University of California, Davis",HS ASST CLIN PROF-HCOMP,82001.18,147725.52,147899.09578114783,82097.53044015105
2012,"University of California, Davis",HS ASST CLIN PROF-HCOMP,122654.82,154500.06,154681.59578746508,122798.93799798064
2012,"University of California, Davis",ASST PROF OF CLIN-HCOMP,95460.0,268300.0,268615.249403637,95572.16439832721
2012,"University of California, Irvine",ASST PROF-AY,53995.98,63440.420000000006,63514.96176135476,54059.42465334997
2012,"University of California, Irvine",HS ASST CLIN PROF-HCOMP,51608.06,63473.06,63547.640112978064,51668.69887490817
2012,"University of California, Irvine",HS ASST CLIN PROF-HCOMP,76430.35,92703.35,92812.27536639081,76520.1547791922
2012,"University of California, Irvine",ASSOC PROF OF CLIN-HCOMP,97170.48,406243.48,406720.81140067615,97284.65419258711
2012,"University of California, Los Angeles",VST ASST PROFESSOR -FISCAL YR,27604.02,29524.02,29558.710382772893,27636.454404930988
2012,"University of California, Los Angeles",HS ASST CLIN PROF-HCOMP,37428.44,43706.48,43757.83460959774,37472.41798505055
2012,"University of California, Los Angeles",VIS ASST PROF-HCOMP,44717.52,53817.509999999995,53880.74495315962,44770.06256992965
2012,"University of California, Los Angeles",VIS ASST PROF-HCOMP,61522.32,78097.95,78189.71418994697,61594.608015990925
2012,"University of California, Los Angeles",HS ASST CLIN PROF-HCOMP,63448.38,115433.38,115569.01288932093,63522.931114262894
2012,"University of California, Los Angeles",HS ASST CLIN PROF-HCOMP,84028.54,138380.47999999998,138543.07546699588,84127.27256475396
2012,"University of California, Los Angeles",HS ASST CLIN PROF-HCOMP,85177.99,148940.31,149115.31314537834,85278.07315523854
2012,"University of California, San Diego",ASST CLIN PROF-VOL,42360.32,42360.32,42410.09288713333,42410.09288713333
2012,"University of California, San Diego",HS ASST CLIN PROF-HCOMP,54198.65,54198.65,54262.33278826102,54262.33278826102
2012,"University of California, San Diego",HS ASST CLIN PROF-HCOMP,66880.88,66880.88,66959.46426214953,66959.46426214953
2012,"University of California, San Diego",HS ASST CLIN PROF-HCOMP,62100.13,88856.12,88960.52491554043,62173.09693607261
2012,"University of California, San Diego",ASST ADJ PROF-HCOMP,77396.38,94393.06,94503.9707561404,77487.31985329356
2012,"University of California, San Diego",HS ASST CLIN PROF-HCOMP,79026.0,104725.5,104848.55125389708,79118.85463798665
2012,"University of California, San Diego",HS ASST CLIN PROF-HCOMP,79367.58,105733.78,105858.01597126084,79460.83599054458
2012,"University of California, San Diego",HS ASST CLIN PROF-HCOMP,73533.48,110715.48,110845.56941126868,73619.88099037403
2012,"University of California, San Diego",HS ASST CLIN PROF-HCOMP,71401.5,128968.1,129119.63602912113,71485.39593847853
2012,"University of California, San Diego",ASST PROF IN RES-HCOMP,113420.48,157170.47999999998,157355.1535001466,113553.74775505114
2012,"University of California, San Francisco",HS ASST CLIN PROF-FY,8425.02,15924.990000000002,15943.701679464873,8434.919301269587
2012,"University of California, San Francisco",ASSOC CLIN PROF-VOL,0.0,29331.9,29366.364643990088,0.0
2012,"University of California, San Francisco",HS ASST CLIN PROF-FY,31493.29,34493.29,34533.819217674165,31530.29425229619
2012,"University of California, San Francisco",ASST PROF-HCOMP,42826.58,44669.240000000005,44721.72584148684,42876.90073725238
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,42468.28,49985.66,50044.39257363177,42518.1797388874
2012,"University of California, San Francisco",ASST ADJ PROF-HCOMP,42057.2,66492.0,66570.12733263746,42106.61672463154
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,46331.93,76982.93,77073.38405431504,46386.36948304827
2012,"University of California, San Francisco",ASST ADJ PROF-HCOMP,69740.31,84065.29,84164.06574557984,69822.25405939977
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,65792.72,84472.87,84572.12464737608,65870.02568670762
2012,"University of California, San Francisco",ASST ADJ PROF-HCOMP,74227.32,84495.5,84594.78123736494,74314.53624436667
2012,"University of California, San Francisco",ASST ADJ PROF-HCOMP,73521.53,85049.03,85148.96162872681,73607.91694926194
2012,"University of California, San Francisco",ASST ADJ PROF-HCOMP,53432.52,86675.51999999999,86777.36273570602,53495.30259435267
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,70174.57,90899.54,91006.34591045798,70257.02430988813
2012,"University of California, San Francisco",ASST ADJ PROF-HCOMP,81925.01,92424.96,92533.55826135362,82021.27094128012
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,53092.82,97500.74,97615.30224427569,53155.20345077304
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,57549.47,98005.35,98120.50515520215,57617.08996309029
2012,"University of California, San Francisco",ASST ADJ PROF-HCOMP,79500.06,100441.24,100559.25729784033,79593.47165301567
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,45662.22,100806.52,100924.96649762476,45715.872581527175
2012,"University of California, San Francisco",ASST PROF OF CLIN-HCOMP,75350.58,103480.08,103601.66789977007,75439.11606190348
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,63276.22,106903.68,107029.2905902594,63350.568828249736
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,67577.55,107190.72,107316.66785894678,67656.95284135948
2012,"University of California, San Francisco",ASST PROF IN RES-HCOMP,46525.64,109067.21,109195.36271304083,46580.30709006273
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,71393.25,109526.26,109654.95209149306,71477.13624482373
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,68574.68,111417.94999999998,111548.86480541168,68655.25445760193
2012,"University of California, San Francisco",ASST ADJ PROF-HCOMP,73517.03,112170.52,112302.31906647653,73603.41166181388
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,72109.5,116604.08,116741.08844831026,72194.22783030772
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,70035.37,119283.78,119423.93706488471,70117.66075149458
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,63183.48,120061.36,120202.43071241092,63257.71985982002
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,77747.88,121183.54,121325.9292609602,77839.23286173702
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,72103.08,121564.02,121706.8563205692,72187.80028688181
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,107798.55,124272.54,124418.55880031105,107925.21205218202
2012,"University of California, San Francisco",ASST ADJ PROF-HCOMP,73517.02,125470.52,125617.94641298556,73603.401650064
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,61304.04,126150.51,126298.73539338801,61376.07153951003
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,103356.0,131299.96,131454.2359377099,103477.44210720203
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,76706.83,132492.37,132648.04700569867,76796.95964000144
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,71869.16,132627.9,132783.73625188455,71953.60543358141
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,86136.42,139295.46,139459.1305579364,86237.6292994276
2012,"University of California, San Francisco",ASST ADJ PROF-HCOMP,46961.28,145881.7,146053.10931392678,47016.45896203515
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,71348.28,149399.93,149575.47319357403,71432.11340559271
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,65270.33,153548.59,153729.00782119567,65347.02188448636
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,73516.5,155134.93,155317.21175238825,73602.88103907
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,79593.01,161495.53999999998,161685.2953957325,79686.53086819296
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,72166.99,163581.95,163774.15690340396,72251.78538039426
2012,"University of California, San Francisco",ASST PROF IN RES-HCOMP,105903.62,173087.06,173290.43529795855,106028.05553130078
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,83206.56,173205.03999999998,173408.55392309697,83304.32674774017
2012,"University of California, San Francisco",ASST PROF OF CLIN-FY,82171.68,177495.52,177704.07518758194,82268.23077568338
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,66979.24,187623.99,187844.44602294257,67057.9398340144
2012,"University of California, San Francisco",ASST PROF OF CLIN-HCOMP,83206.56,213205.1,213455.6135319693,83304.32674774017
2012,"University of California, San Francisco",ASST PROF OF CLIN-HCOMP,83206.56,219705.04,219963.19088645565,83304.32674774017
2012,"University of California, San Francisco",ASST PROF OF CLIN-HCOMP,89255.32,246604.04,246893.79690102302,89360.1939709334
2012,"University of California, San Francisco",HS ASST CLIN PROF-HCOMP,87986.52,278425.08,278752.2262557868,88089.9031455762
2012,"University of California, Santa Cruz",ASST PROF-AY,39349.98,39349.98,39396.215772374686,39396.215772374686
2012,"University of California, Berkeley",PROF EMERITUS(WOS),0.0,3000.0,3003.524965377976,0.0
2012,"University of California, San Diego",PROF IN RES-HCOMP,111502.64,210200.06,210447.0426446495,111633.65431518432
2012,"University of California, Santa Cruz",PROF-AY-B/E/E,84250.04,84250.04,84349.0328246977,84349.0328246977
2012,"University of California, San Diego",PROF-HCOMP,167054.76,219999.72,220258.21713205482,167251.0474150754
2012,"University of California, Riverside",PROF-AY,151200.0,151200.0,151377.65825505,151377.65825505
2012,"University of California, San Diego",PROF-AY,160450.08,196738.94,196970.1059839999,160638.60699229783
2012,"University of California, San Francisco",ASST PROF-HCOMP,85305.01,110000.05,110129.29878927521,85405.24240227263
